>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f063ae36970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-211902.80290162796,357.81637767251175,0
20000,-206048.1336053633,427.2703259936218,613
30000,-217685.2008813643,346.13922588593164,615
40000,-215818.84968507523,376.25146905249767,616
50000,-216773.89515626663,372.9308215921654,617
60000,-208344.1662744307,407.47736104847417,619
70000,-230107.2718957686,321.6297406034926,620
80000,-219331.39417970413,359.78470771188955,621
90000,-223394.07356202835,350.83012646049133,622
100000,-232551.5310815596,308.88941198098206,623
110000,-225428.1315454268,341.30046006455945,624
120000,-192887.24043214554,470.59459186964,626
130000,-229605.01521241898,316.9816029074888,627
140000,-212308.50398195023,381.8796968057096,629
150000,-211807.23445070023,382.85704648834366,629
160000,-192185.88136232132,476.6432441879628,629
170000,-192293.08253419632,476.4734998393406,629
180000,-238984.48744142288,285.2051420127623,630
190000,-215988.00746095413,370.35420951305747,632
200000,-234142.39448487991,297.0704280782898,633
210000,-232406.2184594893,314.1495815195861,635
220000,-202589.04438722366,422.19880965332015,636
230000,-207071.30720460648,410.118297318404,635
240000,-218422.8142846846,360.1754229472216,636
/scratch/htc/ldonati/anaconda32/envs/emma32/lib/python3.11/site-packages/mdtraj/utils/validation.py:123: TypeCastPerformanceWarning: Casting xyz dtype=float64 to <class 'numpy.float32'> 
  warnings.warn(
250000,-194655.27833497757,472.69071993868783,635
260000,-196919.1228784346,455.14899886968936,634
270000,-222804.7771753096,339.9744065248569,634
280000,-223573.36109864945,336.16133522316983,635
290000,-198632.78355348343,448.16032272273003,636
300000,-195909.50813234085,462.11355397413917,635
310000,-200193.11720216507,439.2558163808883,635
320000,-227376.66700685257,322.2231140261735,635
330000,-241562.1208032393,283.18529642053244,637
340000,-235583.49726808304,302.64946842940844,638
350000,-226463.3551782393,335.17014553084107,639
360000,-234949.51655519241,298.215296362073,640
370000,-239965.52012574906,287.9364532498726,641
380000,-222747.22260987991,334.90741175516257,642
390000,-213128.13648927445,382.8242419321874,642
400000,-200283.19062745804,437.54323284443865,642
410000,-201996.33302247757,430.36036874605986,642
420000,-212061.30873048538,382.20519847118345,641
430000,-200277.40852296585,440.8393008878475,641
440000,-195576.72810304398,472.3999258213117,641
450000,-197115.9373315596,452.46222734618556,641
460000,-216851.01179445023,362.25648941247624,641
470000,-212540.98542726273,375.16442042524864,641
480000,-205297.40156495804,414.58892760102515,639
490000,-209079.16645753616,390.0266624407954,639
500000,-224465.87843263382,335.3072157205969,639
510000,-223327.906630876,340.07518894460867,639
520000,-211894.0750268721,382.68152208696324,639
530000,-197803.40644777054,451.4491213031691,639
540000,-196587.15656984085,459.184329063524,639
550000,-190960.88575685257,490.2953919013979,639
560000,-202403.8963159346,429.34047579172955,639
570000,-219219.69489991898,357.5533766056967,639
580000,-233200.16468751663,305.42421580560466,639
590000,-242958.10853517288,272.0698678457113,640
600000,-241698.1463159346,279.78351940669125,640
610000,-237527.96839845413,291.6799167658306,641
620000,-228609.0807641768,319.59046406064033,642
630000,-231982.0056909346,311.9890837134997,642
640000,-235116.0730737471,301.9925633104636,642
650000,-240934.84968507523,286.1228360706666,643
660000,-244189.51008546585,270.6730178360832,643
670000,-238383.83930909866,287.122261070149,644
680000,-231865.76905763382,305.60556743851623,644
690000,-224202.39997804398,335.7912304132268,645
700000,-216661.50828492874,358.84391957077196,645
710000,-213324.87141359085,377.2091144585153,645
720000,-223336.34730470413,342.9495055185599,645
730000,-231742.6121362471,311.7259207537437,645
740000,-228135.72968995804,319.1945088252909,646
750000,-219989.49909913773,348.5791648769989,646
760000,-212011.26283204788,377.8521183102625,645
770000,-202643.9772485518,424.0700360914458,645
780000,-211240.30964601273,389.75637362261875,645
790000,-217012.07624757523,362.9259327272737,645
800000,-225758.8391259932,330.0078196634217,645
810000,-233968.71736085648,308.3872474532384,645
820000,-239897.54481446976,286.82853035687003,646
830000,-243911.82649171585,276.8515129431523,646
840000,-239683.2917016768,287.01449630546824,646
850000,-234382.20759523148,296.68401120859977,647
860000,-231335.03828370804,309.614426243834,647
870000,-222573.37641847366,340.10842073676986,647
880000,-214847.15574586624,372.484801446723,647
890000,-207060.25367677445,407.2948497115537,647
900000,-194100.19563234085,463.47193355408365,647
910000,-190450.82551515335,486.88316101660973,647
920000,-191464.1823266768,488.8392745466008,647
930000,-196221.32722413773,463.24437584215275,647
940000,-202987.06477296585,422.9819877604314,647
950000,-203705.8269799971,425.74246593856765,646
960000,-198713.01356446976,438.1823635432761,646
970000,-197066.27821290726,453.6859090730813,646
980000,-197800.7653344893,452.66733114886836,646
990000,-188915.6668237471,497.0554123101334,646
1000000,-197997.7682641768,454.67141030101084,646
1010000,-204165.66664064163,414.915011826146,645
1020000,-210139.34663331741,391.7736088922089,645
1030000,-208110.83393800491,401.14029704789056,645
1040000,-204896.8854516768,419.467311372831,645
1050000,-216600.6784204268,363.698721114927,645
1060000,-217328.8981469893,365.52703555974375,645
1070000,-225717.1081079268,332.770582634074,645
1080000,-227559.15449464554,322.6358384770158,645
1090000,-230842.480849626,309.626215130748,646
1100000,-236528.65040529007,296.1190039154487,646
1110000,-241451.6696313643,281.19907316374514,646
1120000,-242408.02632081741,275.5086972795039,647
1130000,-243864.8664697432,273.99903623315174,647
1140000,-243536.95222413773,274.3281932852548,647
1150000,-237012.7244409346,291.5066007670504,648
1160000,-234899.77223146195,301.17479703124826,648
1170000,-228991.0990136885,315.0451779490567,648
1180000,-229137.80525148148,323.0156013230783,649
1190000,-223184.6013940596,335.53635562241845,649
1200000,-223354.5344384932,337.7884810437054,649
1210000,-220119.12995851273,353.62463693283496,649
1220000,-213885.08882081741,370.9609412478534,649
1230000,-211849.47700441116,387.67094976311927,649
1240000,-213624.76203859085,371.6933413046872,649
1250000,-216962.1842798018,365.50787576279345,649
1260000,-219552.42500245804,354.0136356789804,649
1270000,-211877.33894288773,384.9090493926025,649
1280000,-208819.19770753616,395.6150062447982,649
1290000,-211187.54078614945,388.80113494720126,648
1300000,-213416.24977052445,378.8114074582285,648
1310000,-213439.29887330765,371.9782090693307,648
1320000,-220479.12867677445,353.1172646065917,648
1330000,-222949.21198976273,348.03645055129624,648
1340000,-225985.0535424971,326.6163514887103,649
1350000,-226591.0065454268,333.3456447588984,649
1360000,-223361.80427491898,339.58470650589794,649
1370000,-223328.47883546585,341.5694243593613,649
1380000,-216492.00154054398,363.3564047077025,649
1390000,-212342.72828614945,385.90732621276936,649
1400000,-200555.07759034866,430.9169085357851,649
1410000,-197007.47926271195,447.9694676328695,649
1420000,-196314.81019532913,461.23289728168976,649
1430000,-191654.7635034346,481.63755792438553,649
1440000,-188089.0817407393,502.4787801722701,648
1450000,-194935.6082299971,472.1852559719001,648
1460000,-194128.9597924971,467.5502806323061,648
1470000,-193891.775771501,468.24059886810295,648
1480000,-199246.02363527054,436.79174982846365,648
1490000,-199031.30287111038,441.9747835222477,648
1500000,-203175.23493898148,426.76226114690604,648
1510000,-205876.36524904007,411.33900990071925,648
1520000,-202938.7873681807,426.1427298722564,648
1530000,-199299.29048097366,440.7022697016735,647
1540000,-189265.99470460648,502.18621744811287,647
1550000,-188475.87940919632,502.48887541649265,647
1560000,-187784.45423829788,504.375200194091,647
1570000,-191602.71723878616,484.10938092309914,647
1580000,-194335.61238038773,472.14830910964554,647
1590000,-203173.63941896195,434.27550583351206,647
1600000,-207604.77986085648,406.3808134719043,647
1610000,-207447.3053735518,399.81972036577446,647
1620000,-205296.47483766312,411.46566319405355,647
1630000,-197960.049209001,447.8831907091951,647
1640000,-194465.14625489945,471.9908607119709,647
1650000,-189160.46528566116,501.61593196828557,646
1660000,-190815.80134523148,483.32188933927915,646
1670000,-192754.56294191116,461.1314796035145,646
1680000,-197545.54585206741,456.46382171175304,646
1690000,-191234.2741235518,475.96449670374966,646
1700000,-188552.35035646195,498.44309510851025,646
1710000,-194879.4821313643,462.43190974073343,646
1720000,-202816.51557862991,426.2059642403522,646
1730000,-208391.85017335648,400.2346423938045,646
1740000,-213379.34687745804,376.9313663632776,646
1750000,-208262.6147912764,396.11525195963526,646
1760000,-211114.33094728226,389.6907536416968,646
1770000,-217536.1711572432,366.79923918947003,646
1780000,-222242.57624757523,335.73866991445783,646
1790000,-222298.15840089554,341.31290149841067,646
1800000,-217549.84242189163,362.0442224278826,646
1810000,-214667.17460572952,373.1229043764091,646
1820000,-208676.48774659866,399.982285087427,646
1830000,-205419.82185304398,414.5692738512522,646
1840000,-197801.74848878616,456.75173737805295,646
1850000,-196654.0583032393,454.3388483304358,646
1860000,-191214.54273927445,486.79571663674136,646
1870000,-197084.64247071976,455.99036933336544,645
1880000,-210753.9704126143,387.34135344035366,645
1890000,-213663.08497560257,376.2726267290152,645
1900000,-206393.03117311234,412.3358310024354,645
1910000,-202929.16267335648,421.78234251266696,645
1920000,-208451.36970460648,400.91085016252856,645
1930000,-210678.91938722366,390.46894582773757,645
1940000,-213673.1189721846,378.76466999778086,645
1950000,-222883.79353273148,339.95119778554846,645
1960000,-228850.19551027054,324.72755397906207,645
1970000,-234642.92372071976,300.01780930506845,646
1980000,-240839.19634950394,284.0510653595527,646
1990000,-241320.48731935257,286.4786490174402,646
2000000,-239242.5651391768,291.29040459835016,646
2010000,-238906.19453370804,292.6041634543905,646
2020000,-243036.21308839554,274.7773555650244,646
2030000,-244122.9695581221,276.3514706287887,647
2040000,-244411.36448610062,274.4517967472681,647
2050000,-244951.44282472366,275.60589307426096,647
2060000,-243795.78254640335,271.7394697173796,647
2070000,-240897.86091554398,279.8957192533921,647
2080000,-235669.71827638382,295.5545447378683,648
2090000,-236064.45313966507,295.6716893367672,648
2100000,-232361.3850244307,306.9013538132502,648
2110000,-231708.66340577835,310.1117182959837,648
2120000,-229447.70558107132,322.486362516875,648
2130000,-226113.39216554398,326.8884766725475,648
2140000,-228484.9323266768,321.21837819693417,648
2150000,-229013.04750001663,321.6815065008663,649
2160000,-226430.88511598343,326.1850998260695,649
2170000,-223437.5905298018,341.9641989106169,649
2180000,-225587.0720971846,329.70671834281524,649
2190000,-225468.46351564163,330.009740626396,649
2200000,-223478.76118409866,343.73353801006544,649
2210000,-222346.91676271195,344.8506330800621,649
