>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7fe5f0a16970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-211654.39915406937,359.63181250381814,0
20000,-205242.03840577835,417.4726450026321,611
30000,-211041.95753419632,371.3613538398667,613
40000,-205547.34962404007,410.39983084615807,614
50000,-225624.14759767288,317.73925098939617,615
60000,-198982.9392846846,452.45668969488634,616
70000,-205761.0221704268,414.5873033904014,617
80000,-195927.47419679398,473.13230451013345,618
90000,-195805.72224366898,462.48119036538674,619
100000,-193079.7669824385,488.0136712639156,619
110000,-232869.8293603682,317.8700913413552,621
120000,-209329.08100831741,402.10937596089354,621
130000,-233787.87800538773,299.38669651838757,623
140000,-194622.12000978226,463.97840804763695,624
150000,-210929.7028344893,395.5969766415541,624
160000,-220852.3551782393,342.7178032094859,624
170000,-226869.9440454268,326.5137188548396,626
180000,-198835.16578614945,441.0910263707344,627
190000,-216778.8068994307,367.07922543584647,627
200000,-241661.94624269241,279.4726328682588,629
210000,-226954.29469239945,328.0700146373178,632
220000,-194446.49861085648,473.6083387548108,632
230000,-214226.8805688643,379.346849371014,632
240000,-218529.61817872757,358.1235549649293,633
/scratch/htc/ldonati/anaconda32/envs/emma32/lib/python3.11/site-packages/mdtraj/utils/validation.py:123: TypeCastPerformanceWarning: Casting xyz dtype=float64 to <class 'numpy.float32'> 
  warnings.warn(
250000,-238418.07710206741,284.83186088809794,634
260000,-235837.46568238968,298.8007428706671,635
270000,-210419.27226197952,392.7764478132675,636
280000,-189892.20466554398,500.90026907836705,636
290000,-208069.8469384932,398.98335468507383,636
300000,-216355.93312013382,367.4357939863689,637
310000,-201050.3216699385,437.1586401686135,637
320000,-195036.98625123734,455.32730545705084,636
330000,-193043.9358056807,476.08198673834744,636
340000,-214924.89497316116,366.8147263646145,636
350000,-234264.3219751143,297.4604345193304,637
360000,-243322.73341310257,276.88425814068165,639
370000,-242440.11042726273,283.2929485748403,640
380000,-229919.3015893721,315.89244659006687,641
390000,-222397.86848390335,340.6006702091532,642
400000,-205750.6481469893,411.0308938219356,642
410000,-197393.3415063643,452.4056545924689,642
420000,-190476.91645753616,485.9849729910273,642
430000,-200079.7838891768,446.1211610275752,641
440000,-210171.54762208695,392.485933252754,641
450000,-205706.14961183304,412.1487499005993,641
460000,-197280.98585450882,450.881300109312,641
470000,-188311.52070558304,499.8666848196234,641
480000,-188482.21180665726,504.76426034497325,641
490000,-205282.74116456741,420.26280001964017,641
500000,-215169.54927003616,370.57893603854285,641
510000,-222645.81446779007,337.85792817792986,641
520000,-233741.3620141768,301.75521292616764,641
530000,-228801.7615503096,316.5108549595271,642
540000,-237604.82765138382,296.19090873491473,643
550000,-235485.56208741898,302.96240703118144,644
560000,-242309.99323976273,274.61701983581486,644
570000,-243605.36372316116,274.10213028969224,645
580000,-241553.98969972366,282.77269944675464,646
590000,-237259.79212892288,284.30067203340485,647
600000,-232120.81440675491,304.50641029709135,647
610000,-226091.72187745804,331.43528930555834,648
620000,-226129.50953614945,331.3189454123814,648
630000,-222237.28071534866,353.3030700728601,648
640000,-216833.05207765335,360.4345826894016,648
650000,-215299.68366945023,365.00750894446344,648
660000,-219678.82661378616,353.28616688304817,648
670000,-226012.72218263382,330.1870177732782,649
680000,-228428.72676027054,322.40743691657025,649
690000,-223997.14503419632,335.1988137331745,649
700000,-218298.5739282393,364.1967301370555,650
710000,-208670.3885034346,400.829887155992,650
720000,-207369.93757570023,403.3286831152934,649
730000,-214137.34477174515,376.20980197476956,649
740000,-217501.82734620804,366.61368949067355,649
750000,-226072.04283082718,330.693760312518,649
760000,-225576.61741578812,332.9925643925536,649
770000,-230995.86122071976,308.618269643398,650
780000,-235894.64942872757,299.2751746498147,650
790000,-234818.06941163773,302.8338271712329,650
800000,-239946.66731202835,284.2039792578252,651
810000,-241422.6262353682,280.5839527602115,651
820000,-243602.6823266768,270.3677836884234,652
830000,-239080.89448487991,287.2910650835503,652
840000,-234724.30268800491,295.17111609098686,653
850000,-231396.53254640335,309.7661174352362,653
860000,-226308.89466798538,332.0872779773331,653
870000,-221081.54017579788,352.6450327420069,653
880000,-212172.32929933304,391.1799735851169,653
890000,-212183.81538331741,386.5459949110325,653
900000,-206693.0183862471,408.02440972732995,653
910000,-202054.87800538773,426.3799730624912,653
920000,-194930.43366945023,472.2653916365648,653
930000,-199920.78816163773,440.4572646796943,652
940000,-205372.50312745804,418.15572960314853,652
950000,-205894.34913575882,406.36778837171704,652
960000,-198351.5183862471,441.5978753573617,652
970000,-202787.99897706741,421.7482533380091,652
980000,-213306.7067407393,378.7745553997688,652
990000,-219043.58216798538,355.1076725346719,652
1000000,-225005.66938722366,332.60606765638073,652
1010000,-220705.14790284866,350.33821142454696,652
1020000,-214443.88301027054,374.2377286509974,652
1030000,-208407.09144532913,395.6814975104048,651
1040000,-202901.83650148148,421.9672259459017,651
1050000,-213648.72572267288,380.9042622594962,651
1060000,-214799.30189454788,369.16191080414734,651
1070000,-208272.19880616898,397.12633957549343,651
1080000,-219436.15681398148,353.2982300925345,651
1090000,-223281.35761964554,345.44172667720414,651
1100000,-231357.0168603682,314.74725806228355,651
1110000,-229070.83134401077,320.10130256167923,652
1120000,-225708.9363549971,332.8030548194391,652
