>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f0ac8fa2970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-201288.6330713057,463.0837708082713,0
20000,-210265.07606446976,392.6861989080431,614
30000,-218919.42945802445,338.3964760292568,617
40000,-215077.98689210648,382.20942617205577,619
50000,-207123.2166284346,411.2816784634941,620
60000,-227860.83784425491,313.1086778817282,620
70000,-203071.9178003096,434.17889394791297,621
80000,-207049.73969972366,408.52475982161326,621
90000,-206254.84785402054,408.2136810456787,623
100000,-194960.79188478226,466.85146770995664,624
110000,-216804.33528077835,365.8805061840257,625
120000,-220629.88368165726,344.2576688038304,623
130000,-221492.6228784346,340.89838881094227,622
140000,-241365.36286866898,274.9166571951196,625
150000,-189565.3454126143,490.8762789966484,626
160000,-196549.15638673538,460.27932395275354,626
170000,-223614.4303735518,336.9177304183422,626
180000,-197472.14747560257,456.2981253640212,627
190000,-218159.1931909346,359.6067204476832,627
200000,-240097.67683351273,290.8192015448633,630
210000,-228790.92488038773,318.21044056119484,632
220000,-237218.97798097366,295.22545373792605,634
230000,-206292.66938722366,417.72727908541003,635
240000,-200637.18794191116,437.5087474241551,634
/scratch/htc/ldonati/anaconda32/envs/emma32/lib/python3.11/site-packages/mdtraj/utils/validation.py:123: TypeCastPerformanceWarning: Casting xyz dtype=float64 to <class 'numpy.float32'> 
  warnings.warn(
250000,-221206.93507325882,349.5538770558706,634
260000,-207092.89070070023,406.26849059144484,634
270000,-195424.21882570023,465.61644757660406,634
280000,-189459.61250245804,484.59330778447173,633
290000,-197425.35261476273,442.95481686732916,633
300000,-218324.63551271195,357.73665128324734,634
310000,-239720.26423585648,283.7953969568564,635
320000,-233468.4798730635,303.7567617344158,636
330000,-221477.70991456741,342.78955669536134,637
340000,-210188.24336183304,392.7127148824129,637
350000,-212878.69789064163,380.62683075394915,637
360000,-225815.25831544632,330.17338726482575,638
370000,-237153.22572267288,295.7167752182919,639
380000,-240890.87208497757,283.92163632841977,640
390000,-233958.98194825882,301.03020634146094,641
400000,-243269.03047120804,278.8780820514542,642
410000,-236476.7106164717,298.25206942629376,643
420000,-215535.67683351273,370.12084768796797,643
430000,-194317.38062989945,470.80064919132406,643
440000,-199598.55177247757,440.74952935834875,643
450000,-193590.15852296585,487.5086643691847,642
460000,-204812.74848878616,411.19223754942124,642
470000,-217644.64210450882,364.09050559804155,642
480000,-225958.96675050491,327.1588053931596,643
490000,-217836.871474626,364.41376948533934,643
500000,-206477.7424463057,412.7167751126958,643
510000,-198644.64063966507,453.7767735465102,642
520000,-188596.11567628616,489.0668480695938,641
530000,-201507.93513429398,431.68580183333063,641
540000,-207125.957412126,408.23224077124064,641
550000,-214418.18501222366,378.47166124029474,641
560000,-200976.5027612471,442.16982770958464,641
570000,-194259.39063966507,471.14740968355164,641
580000,-199179.98664796585,448.85493173385726,640
590000,-215529.5838159346,367.30048975965025,640
600000,-225737.18824708695,329.34697138087495,641
610000,-234079.93489015335,299.1657969183453,641
620000,-226364.4207299971,327.073392796856,642
630000,-214250.48371827835,375.5255573961243,642
640000,-200963.5412744307,435.5386272829823,642
650000,-189117.16413820023,500.9492974731584,642
660000,-195747.44532716507,460.78696402794753,641
670000,-194847.20014894241,467.5995790285144,641
680000,-190435.00105226273,484.8002993652381,641
690000,-209996.7111963057,396.8853706267049,641
