>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f0d40cc6970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-211275.45875489945,364.3923581481948,0
20000,-204348.00282228226,418.21656374027594,526
30000,-209626.0617822432,367.92180321842903,527
40000,-210019.566787126,394.22928016137206,527
50000,-204936.07676637406,408.2150238280257,528
60000,-216890.88731324906,356.74009710788334,527
70000,-233419.45747316116,296.26908542071953,529
80000,-231649.09681642288,307.1866270640728,531
90000,-234944.34571779007,304.4417757238065,532
100000,-236941.77644288773,293.5594254975658,533
110000,-207457.6219018721,399.92954849756404,535
120000,-223263.05177247757,339.1311522173834,537
130000,-225287.4665063643,331.82339167354155,537
140000,-230468.21107423538,318.7896935395233,539
150000,-210186.30165040726,389.2339318548626,539
160000,-201279.28468263382,439.105400530495,539
170000,-226390.9154504561,330.3471198174072,539
180000,-231430.88532960648,315.4395606664975,541
190000,-240847.60298097366,278.8937730214931,543
200000,-219005.08821046585,356.59093957785745,545
210000,-189935.08863771195,492.16871426625266,544
220000,-212346.4578393721,384.86739728727576,544
230000,-217494.13386476273,361.9719006085061,544
240000,-193004.15718019241,474.53823171767357,544
/scratch/htc/ldonati/anaconda32/envs/emma32/lib/python3.11/site-packages/mdtraj/utils/validation.py:123: TypeCastPerformanceWarning: Casting xyz dtype=float64 to <class 'numpy.float32'> 
  warnings.warn(
250000,-209509.68598878616,390.02092381303294,544
260000,-227908.91804445023,323.18687386629455,543
270000,-243562.57539308304,270.2461889801077,544
280000,-237747.94105470413,294.78528839372206,546
290000,-220290.6657251143,347.5174402877581,547
300000,-203089.64057862991,422.1921759018285,546
310000,-188005.8064721846,499.0537131107695,546
320000,-202891.21742189163,429.4622432676997,546
330000,-203382.44087159866,423.8731232573013,546
340000,-188255.91633546585,493.7200124188508,545
350000,-199618.58790529007,437.8281519318106,545
360000,-211394.24110353226,388.0273483803833,545
370000,-223077.05720460648,343.292022073164,545
380000,-227536.6559594893,325.18917392417177,546
390000,-236892.23261964554,293.54627638806784,547
400000,-232804.53504884476,305.8474896660912,548
410000,-221553.6305688643,350.593376380935,548
420000,-226680.51313722366,329.8946809922998,549
430000,-214837.70216310257,374.06313367363776,549
440000,-201397.42103517288,427.3181081042054,549
450000,-189553.85444581741,492.08542430733854,549
460000,-189276.4289697432,495.7146358264216,549
470000,-200824.22370851273,432.8975577706039,548
480000,-210284.22798097366,391.090625761102,549
490000,-195238.93708741898,458.2627728225308,548
500000,-213338.10261476273,377.5760444202115,548
510000,-215552.68159425491,374.81443239846675,548
520000,-204729.09480226273,418.314000557719,548
530000,-189054.18122804398,498.25238100743616,549
540000,-199081.9514306807,443.72251769318336,549
550000,-201734.6048730635,424.3277621142379,549
560000,-196011.67402589554,464.73262849343,548
570000,-211657.0647119307,376.99242405827135,549
580000,-217120.74214112991,365.19499244885594,549
590000,-227728.48454225296,324.31842348679857,549
600000,-233542.8621362471,306.71836276506417,550
610000,-244227.71379029984,274.04639474610195,550
620000,-244563.1551049971,272.04370124665235,551
630000,-239142.21736085648,283.2838953154915,552
640000,-236759.62715089554,296.5173132129629,552
650000,-228663.9293969893,321.56361701112155,553
660000,-235385.13569581741,301.2986140125804,553
670000,-237679.07917726273,288.7130670304843,554
