>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f305b156970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-208539.65187013382,394.21433539585144,0
20000,-203352.65254152054,420.4712752654928,521
30000,-210462.14063966507,366.1580238897877,522
40000,-216056.6145166182,375.0955379454241,523
50000,-225306.48329103226,319.79107375603263,524
60000,-228451.28047120804,317.8188265035407,524
70000,-203313.88578737015,431.8306337030016,525
80000,-219676.30946290726,355.145611638078,525
90000,-214644.87983644241,375.4116559100859,527
100000,-192552.9412378096,472.28081040737595,527
110000,-205241.4041284346,422.12509584554476,529
120000,-213572.0545190596,380.83896673089214,529
130000,-237001.9713891768,292.31662236456367,530
140000,-193672.7106469893,471.1189108983368,531
150000,-233342.82508790726,300.7897200471903,532
160000,-208820.93568361038,402.15536014290274,534
170000,-211581.29151857132,382.72757220444413,534
180000,-241116.86274659866,275.62970271787316,535
190000,-240590.91303956741,285.3143662852077,538
200000,-200841.57832277054,430.4502806109142,539
210000,-192926.50825441116,485.5162542564845,539
220000,-206967.65589845413,407.8754497438081,539
230000,-194259.82945192093,469.90743251468376,538
240000,-190834.29829347366,485.98625541814755,538
/scratch/htc/ldonati/anaconda32/envs/emma32/lib/python3.11/site-packages/mdtraj/utils/validation.py:123: TypeCastPerformanceWarning: Casting xyz dtype=float64 to <class 'numpy.float32'> 
  warnings.warn(
250000,-217795.69673097366,363.00027716374154,538
260000,-206472.27235353226,409.2699264557895,538
270000,-189569.15965211624,490.93090582510166,538
280000,-215580.09626710648,373.02325899887245,538
290000,-232102.06544435257,310.99356899901335,539
300000,-243467.77790773148,273.9827227399888,540
310000,-233499.41407716507,302.5123330702838,541
320000,-216301.3914331221,371.9630399134867,542
330000,-215351.46577394241,375.9486180545302,542
340000,-195142.56629884476,458.89922613837507,542
350000,-188154.26460206741,504.0650664179409,542
360000,-204626.0504907393,417.3174250412815,542
370000,-203023.59193361038,431.8943938242188,542
380000,-222136.82905519241,343.88606484757685,542
390000,-216562.09266603226,362.17379360981926,542
400000,-205414.26313722366,407.9189964102885,542
410000,-194465.89192140335,462.80347527524685,542
420000,-199420.0622094893,439.05364104340765,542
430000,-210695.98188722366,392.24368055742485,542
440000,-224930.06727540726,332.8723432420176,542
450000,-231896.1838525557,312.01291490993043,543
460000,-223803.30970704788,337.9725794989596,543
470000,-213140.71723878616,379.36382714282075,543
480000,-200352.03962648148,437.7606432831897,543
490000,-189243.873427751,493.1181193652519,543
500000,-200883.64698732132,430.2968721053953,543
510000,-216237.87782228226,359.20192181646166,543
520000,-225652.90974366898,328.24700703717605,543
530000,-233725.2526391768,301.7604293919843,543
540000,-239463.5705713057,288.8161615484522,544
550000,-231895.48371827835,310.91968766326283,545
560000,-221374.24372804398,345.2234666738167,545
570000,-208662.06111085648,397.52637870571243,545
580000,-195400.71388185257,464.8433301393272,545
590000,-196302.02094972366,466.91351616483877,545
600000,-196883.4603418135,457.67774662396397,545
610000,-210310.3816674971,391.78784932827506,545
620000,-216580.11805665726,362.03786839501294,545
630000,-225171.59681642288,332.00706541387103,545
640000,-235870.49824464554,294.23694563421776,545
650000,-242701.0857690596,270.4740425719387,546
660000,-241278.3199914717,284.3128567979846,546
670000,-237745.4193261885,289.14690837865817,547
680000,-228546.4768213057,318.994863770271,547
690000,-231127.36274659866,309.80968021926776,548
700000,-234539.26789796585,300.1914205448556,548
710000,-239525.87617433304,281.13775747472954,548
720000,-243070.96784913773,271.8421358117344,549
730000,-241367.8738549971,277.7274347034019,549
740000,-245222.79939210648,270.96468323560515,550
750000,-232417.62934816116,309.70651873003135,550
760000,-224928.8795923018,332.03244650193227,550
770000,-217628.77400148148,358.58699416698096,550
780000,-226260.35548341507,327.5586709049477,550
790000,-231268.99302613968,316.04846902297174,551
800000,-237663.79984987015,291.70261229390167,551
810000,-235085.20698487991,301.69171511021125,551
820000,-240828.91078126663,282.37935612364686,552
830000,-243488.47480714554,271.2544193791643,552
840000,-237444.43513429398,289.3695810751508,552
850000,-229653.50398195023,319.6771627213245,553
860000,-219979.64076173538,350.2827333845753,553
870000,-212803.67634523148,390.1752871857552,553
880000,-200457.0315088057,441.83511943170134,553
890000,-201958.60639894241,425.41350812466044,552
900000,-206130.70582521195,412.7068266573294,552
910000,-211005.46580446,382.08483212104056,552
920000,-209284.92768800491,390.97530570490915,552
930000,-193529.40113771195,472.3988319746199,552
940000,-189226.04371583695,503.1100416894265,552
950000,-190623.3752588057,498.38479616167643,552
960000,-196744.45875489945,454.5093207117189,551
970000,-198985.992568376,446.63208971018486,551
980000,-196454.48249757523,466.9352777880275,551
990000,-205809.66987550491,414.433656459969,551
1000000,-203682.51625001663,426.9438473392813,551
1010000,-208437.23396241898,400.894721645798,551
1020000,-204763.3666223311,414.48749465374476,550
1030000,-213916.00190675491,381.3978551673382,550
1040000,-219934.3367456221,354.658860987833,550
1050000,-216929.13465821976,362.8808688209685,550
1060000,-214159.34229982132,374.46956471472976,550
1070000,-210902.26704347366,387.4889473515503,550
1080000,-216765.70973146195,363.71223402107654,550
1090000,-223218.9212793135,346.74002979489984,550
1100000,-219540.77387941116,350.63795592286067,551
1110000,-219984.25349366898,354.745017917472,551
1120000,-226916.86848390335,328.88787908778573,551
1130000,-222896.46968019241,337.24223056774815,551
1140000,-225724.5342859053,328.7196865834634,551
1150000,-228515.64051759476,316.486920304739,551
1160000,-231096.43446290726,311.07691678087923,551
1170000,-235612.0920556807,300.77233731989804,551
1180000,-231632.52894532913,308.0621365362665,552
1190000,-225633.2917016768,327.0200402481622,552
1200000,-218364.65180909866,361.4855918225965,552
1210000,-214177.18611085648,376.36145824557906,552
1220000,-219680.26347291702,350.85701818643,552
1230000,-217606.836318376,361.2249160117865,552
1240000,-212398.60499513382,382.1486744782121,552
1250000,-206056.3542016768,411.78019923280965,552
1260000,-192508.4186548018,483.06377906492236,552
