>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f36dce5e970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-200919.0755761885,462.14509087291094,0
20000,-204988.48530519241,420.4736462578784,522
30000,-210623.3581079268,388.18172961251145,523
40000,-210195.82038820023,389.616561042098,523
50000,-211490.37202394241,392.91120212945253,524
60000,-218789.29151857132,350.3538954496688,525
70000,-201305.9397119307,424.1127532246871,526
80000,-203314.3582299971,433.0453020089161,526
90000,-196816.37953126663,454.858291936867,528
100000,-196229.62501466507,462.4128387838375,528
110000,-230263.1802209639,326.1368117255651,529
120000,-196404.1108850264,454.9636261317586,529
130000,-228830.59370362991,325.466463672905,531
140000,-209053.3689721846,389.28252241071914,531
150000,-197713.23512208695,453.4705739872384,532
160000,-240999.57228029007,276.03812184042283,533
170000,-226677.13734376663,336.216443167518,536
180000,-221132.6419824385,351.23268388426504,537
190000,-206014.62879884476,409.7927812092303,537
200000,-205455.04115236038,404.8923376504033,537
210000,-200277.91010987991,442.1683350941858,538
220000,-212886.70814454788,384.1857776001605,538
230000,-194337.97492921585,469.9477892117119,538
240000,-217772.07899415726,356.72500208018124,538
/scratch/htc/ldonati/anaconda32/envs/emma32/lib/python3.11/site-packages/mdtraj/utils/validation.py:123: TypeCastPerformanceWarning: Casting xyz dtype=float64 to <class 'numpy.float32'> 
  warnings.warn(
250000,-240437.78773439163,280.10123399982353,539
260000,-221597.16175782913,346.46805973848205,540
270000,-217474.85426271195,364.681846994843,540
280000,-238898.1693261885,282.39464247425485,541
290000,-238742.66383302445,289.56236068778696,543
300000,-218813.31843507523,359.1690452277948,543
310000,-189565.9676049971,497.19392815289575,543
320000,-199204.76167237991,442.602141592462,543
330000,-189840.5608056807,492.26542078540245,543
340000,-195490.51704347366,467.112623400823,543
350000,-204167.97505128616,416.86760572139247,543
360000,-203312.11732423538,424.6750048035245,543
370000,-212754.68946779007,383.44879416267173,542
380000,-209297.89698732132,402.52941001961807,543
390000,-191232.64900148148,482.92917955269905,542
400000,-199981.0475610518,448.7435099078434,542
410000,-222866.20033204788,344.73270785259666,542
420000,-236436.55287111038,296.07367507540107,543
430000,-242245.28181398148,278.10873088788,544
440000,-242172.3336938643,287.5338045794689,545
450000,-231707.93696534866,311.0925060312282,546
460000,-219272.8094018721,351.53095368488977,546
470000,-228704.8679956221,321.662238101753,546
480000,-239072.37641847366,291.1365073788138,547
490000,-242445.0236963057,275.87439626832816,548
500000,-235482.5709985518,294.7354898979871,548
510000,-223014.31111085648,340.251133504375,549
520000,-215077.6393579268,370.4342427020281,549
530000,-197749.37605226273,448.37834598275316,549
540000,-189173.00898683304,499.0191649778958,548
550000,-199841.1783899092,435.93276329332895,548
560000,-210291.52009523148,395.1498165497293,548
570000,-221530.48567140335,341.15136814924654,548
580000,-220105.4207299971,350.7364607470358,548
590000,-223043.98457277054,334.634793350266,549
600000,-217542.24653566116,363.00313295421023,549
610000,-219970.17671144241,356.85142778175606,549
620000,-216887.55036866898,365.82289141887844,549
630000,-203059.48597657913,430.7673114649998,549
640000,-194476.40992677445,467.73761307404175,549
650000,-192882.56208741898,481.85868848986985,549
660000,-189315.4973291182,506.3783998158734,548
670000,-197696.484755876,457.73611473386717,548
680000,-198577.9333032393,447.1384981062662,548
690000,-208844.74073732132,400.0815878496859,548
700000,-206364.84242189163,400.7541158450877,548
710000,-213686.23054445023,374.2639112035472,548
720000,-205813.03156984085,415.48330863197134,548
730000,-198143.2826074385,453.89607966345585,548
740000,-189400.29341066116,502.87051742016075,547
750000,-189975.8756860518,490.5134217721132,547
760000,-202290.34480226273,422.1686533873352,547
770000,-206209.26167237991,409.74893365895906,547
780000,-216335.01386964554,365.42665645706893,547
790000,-225217.84681642288,329.3599640864497,547
800000,-233964.76722657913,300.49385084753027,547
810000,-237384.59571779007,287.3887491476535,548
820000,-230629.27546632523,314.53640154141146,548
830000,-226421.03742921585,333.11701989169677,548
840000,-219904.15632570023,345.0114025592118,549
850000,-213789.60993898148,380.01588101054887,549
860000,-222470.0086206221,339.5888456385153,549
870000,-228662.68934571976,318.5809882278466,549
880000,-230329.3684228682,309.62446131957824,549
890000,-238371.91072023148,288.58959826421795,550
900000,-244354.08015382523,274.500712075251,550
910000,-240941.11921632523,286.4530406851919,550
920000,-244187.00813234085,275.3241705423662,551
930000,-243398.90278566116,270.1911847553804,551
